category,question_en,option_a_en,option_b_en,question_ko,option_a_ko,option_b_ko,
romance,Which is worse?,Your crush sees your cringe posts from 5 years ago,Your ex becomes your crush's roommate,더 싫은 상황은?,짝사랑하는 사람이 내 5년 전 흑역사 게시물 발견,전 애인이 짝사랑하는 사람의 룸메이트가 됨,
romance,Who do you want to date more?,Someone who overshares everything on social media,Someone who posts couple pics but crops you out,더 연애하고 싶은 사람은?,SNS에 모든 걸 과하게 공유하는 사람,커플 사진은 올리지만 나는 잘라내는 사람,
romance,Which is worse?,Your partner's ex keeps liking all their posts,Your partner keeps all their ex's gifts displayed,더 싫은 상황은?,애인의 전 애인이 계속 게시물에 좋아요 누름,애인이 전 애인의 선물을 계속 전시해둠,
romance,Which is worse?,You have food stuck in your teeth the whole time,You accidentally call them your ex's name,더 싫은 상황은?,밥먹는 내내 이에 음식물이 낌,실수로 전 애인 이름 부름,
romance,Which is better?,Partner who sends 100 texts a day,"Partner who replies once a day with ""k""",더 나은 것은?,하루에 100개 문자 보내는 애인,"하루에 한 번 ""ㅇㅋ""로만 답장하는 애인",
romance,Which is worse?,Your partner's phone wallpaper is their ex,Your partner's phone password is their ex's birthday,더 싫은 상황은?,애인 폰 배경화면이 전 애인,애인 폰 비밀번호가 전 애인 생일,
romance,Which is better?,Catch your partner stalking their ex's Instagram at 3am,Find out your partner's ex is stalking YOUR Instagram,더 나은 상황은?,새벽 3시에 애인이 전 애인 인스타 보는 걸 들킴,애인의 전 애인이 내 인스타를 감시하고 있다는 걸 알게 됨,
romance,Which is worse?,Go on a date and realize you're wearing the same outfit,Go on a date and realize you went to the wrong restaurant,더 싫은 상황은?,데이트 가서 똑같은 옷 입은 걸 깨달음,데이트 가서 엉뚱한 레스토랑에 온 걸 깨달음,
romance,Which is worse?,Your partner posts a story partying with their ex,"Your partner's ex comments ""miss you"" on their posts",더 싫은 상황은?,애인이 전 애인과 파티하는 스토리 올림,"애인 게시물에 전 애인이 ""보고싶어"" 댓글 달음",
romance,What situation do you hate more when you date someone you met online?,Meet your online date and they look completely different,"Your date brings their friend ""just in case""",온라인에서 만난 상대와 데이트할 때 더 싫은 상황은?,온라인에서 만난 사람이 실제로는 완전 다르게 생김,"온라인 데이트 상대가 ""혹시 몰라서"" 친구 데려옴",
romance,Which is worse?,Your partner always compares you to their ex,Your partner never talks about their past at all,더 싫은 상황은?,애인이 항상 나를 전 애인과 비교함,애인이 과거에 대해 전혀 말하지 않음,
romance,Which is better?,Someone who vlogs every moment together,Someone who doesn't post my pictures on social media,더 나은 것은?,함께하는 모든 순간을 브이로그 찍는 사람,SNS에 커플 사진을 올리지 않는 사람,
romance,Which is worse?,Your partner's mom hates you,All your partner's friends think you're weird,더 싫은 상황은?,애인 엄마가 나를 싫어함,애인 친구들이 모두 나를 이상하게 생각함,
romance,Which is worse?,Propose and accidentally drop the ring down a drain,Propose and your partner thinks you're joking,더 싫은 상황은?,프러포즈하다가 반지를 하수구에 떨어뜨림,프러포즈했는데 애인이 농담인 줄 앎,
romance,Which is better?,Your partner only communicates through voice messages,Your partner only sends single-word texts,더 나은 것은?,애인이 음성 메시지로만 소통함,애인이 한 단어 문자만 보냄,
romance,Who do you want to date more?,"Someone who's obsessed with astrology and says you're ""incompatible""","A person who says I fell in love at first sight but doesn't say ""I love you""",더 연애하고 싶은 사람은?,별자리/사주에 집착하며 우리의 궁합이 안 맞는다고 말하는 사람,첫눈에 반했다고 했는데 좋아한다고 말하지 않는 사람,
romance,Which is worse?,Your partner shares your secrets with their friends,Your partner shares their friends' secrets with you,더 싫은 상황은?,애인이 내 비밀을 친구들에게 말함,애인이 친구들의 비밀을 나에게 말함,
romance,Which mistake do you hate more?,Accidentally send a voice message talking about your date TO your date,Post a story meant to be private but it goes public,더 최악인 실수는?,데이트 상대에 대해 얘기한 음성메시지를 실수로 그 사람한테 보냄,비공개로 올린 스토리가 전체공개로 올라감,
romance,Which is worse?,"Your partner's contact name for you is ""Free Food""",You find out your partner has been calling you the wrong name to their friends,더 싫은 상황은?,"애인이 나를 ""밥셔틀""로 저장함",애인이 친구들한테 내 이름을 잘못 말해왔다는 걸 알게 됨,
romance,What is the worst dating app match?,Match with someone who super liked you by mistake,Match with your coworker's sibling,더 최악인 데이팅앱 매칭은?,"실수로 ""좋아요"" 누른 사람과 매칭됨",동료의 형제자매와 매칭됨,
romance,Which is worse?,Your date only talks about their ex the whole time,Your date only talks about crypto/stocks the whole time,더 싫은 상황은?,데이트 내내 전 애인 얘기만 함,데이트 내내 코인/주식 얘기만 함,
romance,Which is worse?,Go to your partner's place and it's really messy,Your partner comes to your place when you didn't clean up,더 싫은 상황은?,애인 집에 갔는데 완전 지저분함,청소 안 한 날 애인이 내 집에 옴,
romance,Which is worse?,"Your partner drunk-texts their ex ""I miss you""",You drunk-text your ex while with your partner,더 싫은 상황은?,"애인이 취해서 전 애인한테 ""보고싶어"" 문자 보냄",내가 애인이랑 있을 때 취해서 전 애인한테 문자 보냄,
romance,Which is worse?,Have a wardrobe malfunction on a first date,Have really bad breath you can't fix on a first date,더 싫은 상황은?,첫 데이트에서 옷이 찢어지거나 고장남,첫 데이트에서 입냄새가 심한데 해결할 수 없음,
romance,Who do you want to date more?,Partner who posts thirst traps daily,Partner who never posts you but posts everything else,더 연애하고 싶은 사람은?,애인이 매일 자신의 섹시한 사진을 올림,애인이 나는 안 올리고 다른 건 다 올림,
romance,Who do you want to date more?,"Someone who's still ""best friends"" with all their exes",Someone who bad-mouths all their exes,더 연애하고 싶은 사람은?,"모든 전 애인과 ""베프""라는 사람",모든 전 애인 욕하는 사람,
romance,Which is worse?,Your partner forgets your birthday,Your partner throws you a surprise party but invites people you don't like,더 싫은 상황은?,애인이 내 생일을 까먹음,애인이 서프라이즈 파티를 열어주는데 싫어하는 사람들을 초대함,
romance,Which is worse?,"Accidentally ""like"" your crush's photo from 3 years ago",Accidentally send a message to ex,더 싫은 상황은?,실수로 짝사랑하는 사람의 3년 전 사진에 좋아요 누름,실수로 전 애인한테 메세지를 보냄,
romance,Which is worse?,Your partner's celebrity crush looks exactly like their ex,You look exactly like your partner's ex,더 싫은 상황은?,애인의 이상형 연예인이 전 애인과 똑같이 생김,내가 애인의 전 애인과 똑같이 생김,
romance,Which is worse?,Get caught rehearsing what to say before calling your crush,Get caught writing fanfiction about your crush,더 싫은 상황은?,짝사랑하는 사람한테 전화하기 전 대사 연습하는 걸 들킴,짝사랑하는 사람에 대한 팬픽 쓰는 걸 들킴,
romance,Which is worse?,Your partner replies to your long emotional text with a meme,Your partner leaves you on read for days then acts like nothing happened,더 싫은 상황은?,애인이 내 긴 감정 문자에 밈으로 답장함,애인이 며칠 동안 읽씹하다가 아무 일 없었다는 듯 행동함,
romance,Who do you want to date more?,"Someone who uses ""uwu"" and "":3"" in every text",Someone who only uses periods and never emojis,더 연애하고 싶은 사람은?,"모든 문자에 ""ㅇㅅㅇ"" ""^^"" 쓰는 사람",온점만 찍고 이모티콘 절대 안 쓰는 사람,
romance,Which is worse?,Your partner's pet hates you,You're allergic to your partner's beloved pet,더 싫은 상황은?,애인의 반려동물이 나를 싫어함,내가 애인의 반려동물 알레르기를 가지고 있음,
romance,Which mistake do you hate more?,Fart loudly during a romantic moment,Burp in your partner's face during your first kiss,더 최악인 실수는?,로맨틱한 순간에 크게 방귀 뀜,첫 키스하는데 애인 얼굴에 대고 트림함,
romance,Which is worse?,Your partner sleep-talks about their ex,You talk in your sleep and reveal embarrassing secrets,더 싫은 상황은?,애인이 잠꼬대로 전 애인 얘기함,내가 잠꼬대로 창피한 비밀 다 말함,
romance,Which is worse?,"Send ""I love you"" text to the wrong person","The ""I love you"" text from my crush was originally meant to be sent to someone else",더 싫은 상황은?,사랑해 문자를 엉뚱한 사람한테 보냄,"짝사랑 상대가 보낸 ""사랑해"" 문자가 원래 다른 사람한테 보내려던 거였음",
romance,Which is better?,Your partner constantly checks your phone,Your partner never shows you their phone,더 나은 상황은?,애인이 계속 내 폰 확인함,애인이 절대 자기 폰 안 보여줌,
